weight,weight_name,global_step,update,episode,episode_length,scalarized_return,return_obj_0,return_obj_1
"[0.0, 1.0]",w_0p00_1p00,36000,18,35,1000,-2161.8334932625294,1.6347952653304674,-2161.8334932625294
"[0.0, 1.0]",w_0p00_1p00,37000,19,36,1000,-2084.8971894979477,-170.45651252521202,-2084.8971894979477
"[0.0, 1.0]",w_0p00_1p00,38000,19,37,1000,-2047.6923386007547,-205.08037681505084,-2047.6923386007547
"[0.0, 1.0]",w_0p00_1p00,39000,20,38,1000,-2071.5536327809095,-76.9814336183772,-2071.5536327809095
"[0.0, 1.0]",w_0p00_1p00,40000,20,39,1000,-1984.5021309107542,65.34821519354591,-1984.5021309107542
"[0.0, 1.0]",w_0p00_1p00,41000,21,40,1000,-1966.2095133066177,22.24937089390005,-1966.2095133066177
"[0.0, 1.0]",w_0p00_1p00,42000,21,41,1000,-1903.4175401479006,-62.02150460676057,-1903.4175401479006
"[0.0, 1.0]",w_0p00_1p00,43000,21,42,1000,-1873.9185932725668,-6.212027271365514,-1873.9185932725668
"[0.0, 1.0]",w_0p00_1p00,44000,22,43,1000,-1824.560321584344,-28.603287907899357,-1824.560321584344
"[0.0, 1.0]",w_0p00_1p00,45000,22,44,1000,-1863.6216190308332,-84.43448608250856,-1863.6216190308332
"[0.0, 1.0]",w_0p00_1p00,46000,23,45,1000,-1785.6267539411783,-159.7839728197432,-1785.6267539411783
"[0.0, 1.0]",w_0p00_1p00,47000,23,46,1000,-1773.9059987068176,-87.48444359318819,-1773.9059987068176
"[0.0, 1.0]",w_0p00_1p00,48000,24,47,1000,-1754.5721583105624,23.425020277150907,-1754.5721583105624
"[0.0, 1.0]",w_0p00_1p00,49000,24,48,1000,-1700.1661684215069,0.5141095777071314,-1700.1661684215069
"[0.0, 1.0]",w_0p00_1p00,50000,25,49,1000,-1701.3529414311051,-30.72174703987548,-1701.3529414311051
"[0.0, 1.0]",w_0p00_1p00,51000,25,50,1000,-1659.0996982306242,-110.33182890969329,-1659.0996982306242
"[0.0, 1.0]",w_0p00_1p00,52000,26,51,1000,-1543.995580971241,-130.41075146768708,-1543.995580971241
