iteration,phase,num_trajectories,num_transitions,mean_length,num_nondominated,mean_obj_0,best_obj_0,mean_obj_1,best_obj_1,hypervolume_2d,reference_obj_0,reference_obj_1,loss
26,train,196,58800,300.0,6,-7.505928039550781,30.771699905395508,-174.65240478515625,-159.20162963867188,562.999825885387,-11.10580997467041,-178.4807357788086,4.753224014282226
27,train,202,60600,300.0,6,-7.3127946853637695,30.771699905395508,-174.5022430419922,-159.20162963867188,562.999825885387,-11.10580997467041,-178.4807357788086,4.751585132598877
28,train,208,62400,300.0,6,-7.002396583557129,30.771699905395508,-174.55953979492188,-159.20162963867188,562.999825885387,-11.10580997467041,-178.4807357788086,4.751961177825928
29,train,214,64200,300.0,6,-7.082030296325684,30.771699905395508,-174.5263214111328,-159.20162963867188,562.999825885387,-11.10580997467041,-178.4807357788086,4.750076286315918
30,train,220,66000,300.0,6,-7.161799907684326,30.771699905395508,-174.54769897460938,-159.20162963867188,562.999825885387,-11.10580997467041,-178.4807357788086,4.7520912017822265
31,train,226,67800,300.0,6,-6.966311931610107,30.771699905395508,-174.4311065673828,-159.20162963867188,562.999825885387,-11.10580997467041,-178.4807357788086,4.750208709716797
32,train,232,69600,300.0,6,-7.328239917755127,30.771699905395508,-174.3644256591797,-159.20162963867188,562.999825885387,-11.10580997467041,-178.4807357788086,4.745932662963868
33,train,238,71400,300.0,6,-7.11607551574707,30.771699905395508,-174.286865234375,-159.20162963867188,562.999825885387,-11.10580997467041,-178.4807357788086,4.747958097457886
34,train,244,73200,300.0,6,-7.208625316619873,30.771699905395508,-174.37704467773438,-159.20162963867188,562.999825885387,-11.10580997467041,-178.4807357788086,4.748496324539184
35,train,250,75000,300.0,7,-7.12233304977417,30.771699905395508,-174.36245727539062,-159.20162963867188,564.2127915670121,-11.10580997467041,-178.4807357788086,4.748739151000977
