individual,eval_episodes,mean_episode_length,mean_obj_0,mean_obj_1,mean_obj_2,mean_sum_return,is_nondominated,seed,run_dir,global_is_nondominated
25,6,500.0,521.9535223344961,260.8606007099152,343.8002652525902,1126.6143882970014,False,0,nsga_iii/results/report_hopper_seed_0,False
26,6,500.0,521.060799330473,270.81702776749927,235.5442818403244,1027.4221089382966,False,0,nsga_iii/results/report_hopper_seed_0,False
27,6,500.0,491.4311101734638,283.671246578296,460.9163117706776,1236.018668522437,False,0,nsga_iii/results/report_hopper_seed_0,False
28,6,500.0,494.7074912091096,288.4877858857314,387.6220486859481,1170.8173257807891,True,0,nsga_iii/results/report_hopper_seed_0,False
29,6,500.0,495.6388123234113,288.0005391736825,418.89548975229263,1202.5348412493863,False,0,nsga_iii/results/report_hopper_seed_0,False
30,6,404.8333333333333,526.3979472319285,16.23116386930148,384.5272947326303,927.1564058338602,False,0,nsga_iii/results/report_hopper_seed_0,False
31,6,468.6666666666667,495.6625576472531,234.4828406572342,259.0260059585174,989.1714042630048,False,0,nsga_iii/results/report_hopper_seed_0,False
32,6,500.0,491.7843055427074,283.7625209887822,459.52840356032056,1235.0752300918102,False,0,nsga_iii/results/report_hopper_seed_0,False
33,6,500.0,496.20218483606976,288.9398578008016,349.31562317411107,1134.4576658109825,False,0,nsga_iii/results/report_hopper_seed_0,False
34,6,500.0,493.5911936958631,287.2690121233464,384.0765395561854,1164.9367453753948,False,0,nsga_iii/results/report_hopper_seed_0,False
35,6,484.5,462.0085392122467,268.01272734999657,438.5951535087079,1168.616420070951,False,0,nsga_iii/results/report_hopper_seed_0,False
0,6,500.0,509.0942871371905,286.41501401861507,367.09393142660457,1162.60323258241,True,1,nsga_iii/results/report_hopper_seed_1,True
1,6,500.0,508.8853800594807,286.5650235712528,481.3249185880025,1276.775322218736,True,1,nsga_iii/results/report_hopper_seed_1,True
2,6,494.6666666666667,520.0208785397311,262.58447829882306,398.2126062586904,1180.8179630972445,False,1,nsga_iii/results/report_hopper_seed_1,False
3,6,500.0,527.6778195599715,218.4467178583145,452.8815146585305,1199.0060520768166,True,1,nsga_iii/results/report_hopper_seed_1,True
4,6,500.0,519.806196898222,271.2606591582298,444.91873783866566,1235.9855938951175,True,1,nsga_iii/results/report_hopper_seed_1,True
5,6,376.6666666666667,400.193685601155,583.1825297673544,171.12658220529556,1154.5027975738049,True,1,nsga_iii/results/report_hopper_seed_1,True
6,6,500.0,521.7482370038828,271.7107370098432,329.3662919004758,1122.8252659142015,True,1,nsga_iii/results/report_hopper_seed_1,False
7,6,500.0,494.1278176705042,288.72114510337514,432.676304469506,1215.525267243385,True,1,nsga_iii/results/report_hopper_seed_1,True
8,6,500.0,538.1179452737173,75.29457305868466,436.8196829756101,1050.232201308012,True,1,nsga_iii/results/report_hopper_seed_1,False
9,6,497.5,469.4070380230745,260.3553240299225,482.9639889259512,1212.7263509789482,True,1,nsga_iii/results/report_hopper_seed_1,False
